Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Second_run\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,01-12-2021 12:40:47,01:28:10,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,65_07-10-2020_B1,999,999,999,999,999,30.4476107261979,999,999,19.2895850131624,19.1796215643102,999,999,999,999,999,999,999,18.4587475486895,999,999,23.2255641405376,999,23.5860671263084,999,999,999,999,999,999,999,999,999,999,999,999,999,25.8809716611383,999,999,19.3497135963791,27.4047981625792,999,999,10.8061438955337,10.7915911649793,10.8335793335786,999,17.5407088796943,16.7183223021783,16.7199431133342,16.7293233433943,17.3180863283793,17.4906606995913,17.6344539902135,21.6825768671381,999,20.7896720027247,28.6426620329323,999,999,20.1909778441633,999,16.4639079855084,999,999,999,999,999,19.2758341415818,999,999,999,999,34.073608722818,999,33.6953789400307,999,999,999,999,999,19.2469262794449,14.9707144239019,14.5221253613089,999,13.6346850231909,15.4369710773861,14.1688381661835,16.7926083159357,19.0280150571342,999,21.0183338479893,999,23.2836140756428,33.617078216071,999,,
02,123_07-10-2020_A1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,29.6995224019554,999,999,999,34.0125292967736,999,999,999,21.1341420913044,999,999,999,14.0425217213087,14.0869568801788,14.024094038782,999,999,21.6824319129369,23.6457896898443,21.8137576365767,23.6431693643284,23.6910278450307,27.0117281348545,999,999,999,30.6968311755347,999,999,999,999,19.2147683757322,999,999,999,999,999,999,999,999,999,999,23.9126599487114,999,29.6360877487268,999,999,999,999,999,999,21.3120509790404,20.3950810101022,999,16.635339386535,999,17.7992320330442,24.2209878719467,21.4537876367397,999,999,999,999,999,999,,
03,158_07-10-2020_B1,999,999,999,999,999,26.2772727866341,999,999,20.7147150079631,19.894244012147,999,999,999,999,999,999,999,20.1666250106289,999,999,21.897610689427,21.347718810284,21.3064986715555,999,999,999,999,999,999,999,999,31.4883355061251,999,999,999,999,999,999,999,20.0356371461121,29.5720423420155,999,999,12.8907991912083,12.8878593952032,12.9470656158539,999,20.1421507805915,18.9602206620061,19.6718002059725,18.6432690953945,20.4842843022391,20.5608453884646,21.0612341576279,23.4254652924275,999,23.1512232470147,29.4467950680971,24.1030124867818,999,21.212608047145,999,18.1302606673805,999,999,999,999,999,19.7334533805427,999,999,22.633870689442,999,999,999,999,23.8314508250931,24.509680236441,22.4517257867809,24.7483559949532,999,23.3627491430334,16.7588257338189,16.2613285693703,999,16.4507438616168,20.0707067703418,16.6896964129411,18.882657721094,19.2101363414503,999,999,999,999,24.48938255863,999,,
04,223_07-10-2020_B1,999,999,999,999,999,999,999,999,23.3278583710226,999,999,999,999,999,999,999,999,21.3806604192889,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,20.1451853853399,999,999,999,12.7308907578614,13.0184830585475,12.5863173901862,999,999,19.5342616618513,19.7228837651435,19.2817363450817,20.2049635562472,19.256208250038,19.9973615210017,999,999,23.1732924207694,29.9788915841649,999,999,23.4407810521372,999,18.2207954937128,999,999,999,999,999,20.3691194261857,999,999,999,999,999,999,24.3517930217841,999,999,999,999,999,999,16.6912142674444,16.4166157120368,999,14.8321021773376,999,16.6919121939534,18.6019537453263,18.951252781473,999,999,999,22.4641280860116,22.7784082617676,999,,
05,275_07-10-2020_B1,999,999,999,999,999,999,999,999,21.5359961938121,22.287825131486,999,999,999,999,999,999,999,19.6671190715938,999,999,999,999,999,999,999,999,999,999,999,999,999,34.8596919075228,999,999,999,999,31.8134845846817,999,999,17.5210451935223,28.0458654633509,999,999,11.7462526262635,11.7267424229212,11.7114698852805,999,20.5152894183537,18.07169065593,18.0854529496567,18.245203671004,19.3795994531859,19.2598629066468,19.1648033246831,21.3891945853555,999,22.072864697524,26.3214345461623,22.6041315857183,23.6803105819965,19.9781818402444,999,16.9620523368623,999,999,999,999,999,19.1385227462205,999,999,23.2827439212162,28.9017750632521,23.0500033077326,999,999,999,999,999,999,999,21.6267262172158,16.2396023808999,15.8617717825073,999,14.7545884960231,23.2988289692599,15.8448313387892,17.8342334138605,19.8931617935986,999,21.2652404481144,999,22.7408523283002,23.6188060684643,999,,
06,312_07-10-2020_B1,999,999,999,999,999,999,999,999,21.5630534109909,22.768007245478,999,999,31.5211522236011,24.5150663795117,999,999,999,19.0182530473256,999,999,999,999,999,999,999,999,999,999,999,999,999,30.8746285401926,999,999,999,999,33.0076818914731,999,999,17.7845200829827,26.8579893085239,999,999,11.2998985843617,11.2484537118211,11.2490422277642,999,999,17.5657487591008,17.319193919301,17.8117928502854,19.1297015776458,18.5167773301905,18.6970305470888,20.33782814309,999,21.2915288060115,27.9605534220942,999,999,19.682778916608,999,15.9977774350344,999,999,999,999,999,18.9887094887666,999,999,999,999,999,999,999,999,999,999,999,999,21.8846506446777,15.4151077331651,15.063264322188,999,14.0198505246643,23.3540142626329,13.8583235112037,17.1702420349872,18.9997406702244,999,22.4468265057619,999,999,21.0132888119067,999,,
07,Katrine Poolmix 2018 10-3,17.6631059498282,17.8929691286975,18.5195238696581,18.4470687382649,18.6871923787117,18.1126636326024,20.1567622505478,19.4255115911786,20.0560504007826,17.5057951858778,17.9213334840018,18.7787243991114,19.6896164269783,19.8158953892888,21.8234525299223,19.7321534260216,19.7031494644225,999,17.910525992219,22.5573192922218,18.0206812981087,18.5134225662437,18.2986198423679,20.0146863890527,17.8604085590463,18.0949246496712,18.0604816190781,20.1500653637112,18.4855449919782,20.0742629387826,17.3724959710305,19.5930286790486,17.2285782082972,17.9158256174254,20.5093037061362,19.7575487607582,20.231950564288,18.1671268114839,20.7205098153428,18.4812460345492,20.5436816493835,18.6926859009115,19.7446158486248,17.4496245485764,17.4558706827734,17.4993938333764,19.3141054475039,19.7490330388171,18.4047478411034,18.2456928249734,18.6206019065982,18.3041412128216,18.5751089560541,18.4959783159202,18.6747324068428,999,17.7877416570024,18.0877659928835,999,23.8610464904697,18.2213631650433,20.3739946668303,21.9813930887913,18.731594577996,17.465898131405,17.6580796173518,19.1290649816169,18.4039665323278,19.8079545946047,19.1475987918515,999,21.9882162329567,25.68079104144,21.0764739852143,18.1183443466723,23.6819560740827,23.2574399687939,24.3573810109354,23.6798390903288,25.5802620477181,999,18.8076992776092,999,20.1269661091794,21.974360852723,19.6267225036277,21.8031568123009,18.9849754261588,17.5819976683725,18.4863717018643,18.258141813434,17.7594684542193,999,999,18.0438077509016,999,,
08,Katrine Poolmix 2018 10-1,10.4211636256955,10.8664812942181,11.1893793859979,11.061583355026,11.2574497406076,10.8858210025172,12.1229117574402,11.9025580282367,12.0205765100167,10.0977555125505,10.4738246681029,11.4051379574651,11.7468384708535,12.2097183630824,13.6333298969317,11.9688814159911,11.5176663758465,19.8436900417906,10.4295226779114,15.5465982356151,10.3877833411853,10.3650854019941,10.4043940285864,11.9016414057224,10.3604654117748,10.5003291712993,10.4070533453616,12.8225178303014,11.0535023572168,12.2314759571031,10.2763683532929,12.0804915852412,9.96579084456201,10.5443528531188,12.9591411294606,12.4118384677448,12.5662401944572,10.6989494295923,12.9306817840084,10.7298853685067,12.9651927076098,11.6650296364399,11.7097854942552,9.87561652191444,9.82167162084354,9.80855514041162,11.4743022638128,11.9821676260177,10.182833108568,10.1689307989636,10.209322606142,10.7739798645745,10.7166895130315,10.6972954405654,11.3785697358386,999,9.82476352169513,10.4462136713896,19.274805732016,15.7511558806408,10.8742216727832,12.9764426845886,13.3017302018677,10.5973269333176,10.2060691484989,10.0237306556537,11.8246315375584,10.7377082865528,12.0888452184023,11.3701937778705,18.8082465471012,14.2111048077773,17.965069796419,13.8628063205047,10.7363654774244,15.8486434955272,15.7007035848243,16.2917164577661,15.7371421142193,16.3516876084496,20.6250595080586,11.5457283854047,999,12.4234875355781,14.8709950264931,11.9140480423226,14.2271856042532,11.2357564973856,10.0935953817924,10.6758431842046,10.7387010048361,10.2212907579501,999,999,10.4342212580944,999,,
09,329_07-10-2020_B1,999,999,999,999,999,999,999,999,19.5916905862047,19.3864216731974,999,999,999,999,999,999,999,21.2750616428839,999,999,999,999,24.1189614053915,999,999,999,999,999,999,999,999,999,999,999,999,999,31.6908336908541,999,999,21.4688012551917,29.9217872484018,999,999,13.3541480219975,13.4021817048723,13.3215861971103,999,20.2595633062942,18.7308537865718,18.7229302276043,18.7869183928811,19.1260527287216,19.9426628798879,19.6815656414888,23.9159817444901,999,24.3396293835596,30.0653025206126,28.6066291869882,999,21.5878301248992,999,19.5922837989312,999,999,999,999,999,21.5037916107231,25.4564931179901,999,24.8308439236317,999,999,999,999,999,999,999,999,999,23.2161731141026,17.7117560292034,17.4012248068655,30.9365931035484,16.3969505156752,19.9898579891094,16.8014772204466,19.3637253333237,20.0770784005948,999,999,999,999,22.7923110943882,999,,
