Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Thrid_run\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,02-12-2021 14:10:29,01:28:12,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,170_15-10-2020_B1,999,999,999,999,999,999,999,999,999,23.8538006310782,999,999,33.9022033722628,999,999,999,999,20.088811376757,999,999,24.3413701713766,25.3797674777978,999,999,999,999,999,999,999,999,999,29.3243322040679,999,999,999,999,999,999,999,18.1804857619743,25.9795560177907,999,999,11.3445936012339,11.4722788868446,11.4036812518752,999,24.2917289589181,16.6951209477385,16.5078803211381,16.6232488185189,17.672382242505,17.7378078396378,18.1415851546764,20.4727171775798,999,20.6478236452813,28.3641114792519,19.1913896976366,999,19.5803652479244,999,16.7519582641337,999,999,999,999,999,19.3590390587487,999,999,25.2845451191333,999,25.0352696491186,999,30.895735725606,999,999,999,999,23.0307913673633,19.5337353602346,15.7147728393831,15.0846583162129,999,14.7282992306228,25.5596972840741,14.6905466956742,17.150543335434,17.2611684324369,999,25.3305339744521,999,999,23.2530883034746,999,,
02,236_15-10-2020_B1,999,999,999,34.6065370656483,999,999,999,999,21.4642976108718,22.7600783570173,999,31.5993162023502,32.8771068667354,999,999,999,24.0201936768344,19.1929165976919,999,999,999,999,999,999,999,999,999,999,999,999,999,26.4092330726102,999,31.4968103686305,999,26.6706521351943,999,999,999,17.1734484531263,25.195478922043,999,999,10.9951536133229,11.0015151446303,10.9644535784563,32.0791380983209,24.180364275437,18.2844865720953,18.351751150665,18.1276739227463,19.564648264178,19.8443790305744,19.8279991867265,20.620789284429,999,20.5306798559141,27.238779488475,19.8957346288905,999,18.7875606124558,999,15.9173811933947,999,999,999,999,999,19.0505220080171,999,999,24.0202806640481,999,999,999,999,999,999,999,999,23.4477709192846,20.7452171553423,14.7751866107303,14.4777490237902,999,13.691485635773,999,13.9631878214319,16.6105857234733,17.3839186151338,26.3974836344441,21.2839737963912,999,23.161716641168,23.007931111753,999,,
03,280_15-10-2020_A1,999,999,999,999,21.7373981296604,23.8567756694817,999,999,20.0390147257369,19.9545227752309,999,999,25.5945077624734,24.3187345997607,999,999,21.3118795248148,22.0392921709473,999,999,21.740851187747,21.1396975914615,21.907436402038,999,999,999,999,999,999,999,999,30.7756490370059,999,999,999,999,999,999,999,24.1807872956254,999,999,21.9213937524053,13.4585568696012,13.5013746053204,13.5618850735533,999,19.5497918166345,18.3431602469265,17.7487899388772,17.9363164431065,18.1124491440955,18.5946728374814,18.7250253365938,25.5225041996926,23.3231155956838,21.1953859708953,31.3441164497465,17.0357670479716,21.3806726227823,24.1416281130782,999,22.1943900946234,999,999,999,999,999,21.7885405916635,21.0583249134548,22.3748227641724,17.712560248786,28.9620564685949,18.0414416878284,999,999,999,999,999,999,23.8365186055949,17.328348006803,19.6738131786826,18.7343757211753,999,17.4293964454498,999,19.2279117471437,20.1192309894396,19.1077942209344,999,18.3874485352907,999,999,24.5810002797282,999,,
04,320_15-10-2020_A1,999,999,999,999,999,999,999,999,23.8206198644791,23.7867464718059,999,999,999,999,999,999,999,19.6905554070158,999,999,999,25.3579019796604,999,999,999,999,999,999,999,999,999,27.5546210029233,999,999,999,999,999,999,999,18.5975607354573,28.7288027908085,999,999,11.616033995904,11.6256450857534,11.5681813837153,999,999,18.3316766585215,18.0360395483274,18.0317802227749,19.7398051855127,19.6110618804297,19.9264645767094,22.3781712909958,999,21.4453130655792,28.4774949358073,23.9332556906894,999,20.3995979273714,999,16.6008346333145,999,999,999,999,999,20.1475931517836,24.7515760300863,999,22.8543701554462,999,999,999,999,999,999,999,999,999,21.9130779139646,15.8404245726801,15.2044446937176,999,13.9899904299641,999,14.2271192071838,17.4975621481873,17.1156251429985,999,21.7581924550873,999,999,22.5853486207367,999,,
05,29_25-08-2020_nul,999,999,999,999,999,24.5229981708684,999,999,21.6392961445152,21.7056138022329,999,999,27.0660565537186,999,999,999,999,15.855788697345,999,999,999,22.3253168327693,24.3018163381843,999,999,999,999,999,999,999,999,999,999,30.5076605717153,999,999,24.4017765182756,999,999,18.0048554759465,24.7555568851869,999,999,10.8320091847625,10.8339156209124,10.6777814946006,999,20.9646444926586,16.946031247442,17.0261228641347,17.1965133743012,17.3820583435406,17.4939970471629,17.6203016400289,23.7582555819895,999,22.0953665606932,28.2026793179471,19.416901625173,24.3721482261242,20.910890028053,999,17.9717123666878,999,999,999,999,999,15.6923123826045,23.0939824620298,23.4478889038039,24.0781148576176,999,24.1202918506653,999,23.0057485210238,999,999,25.2329327950733,999,999,21.7668400157372,14.967495018314,14.2088448968989,34.6853093252818,13.259574959701,18.9168912374521,15.813494573706,16.002208204931,24.0566649883571,33.5835373981077,23.8230257409938,999,24.4962371705299,999,999,,
06,58_25-08-2020_nul,999,999,999,999,999,999,999,999,23.1837398698844,25.3774437894305,999,999,24.3557406080445,999,999,999,999,20.2188841543634,999,999,19.8858785347984,19.8218499683447,19.6392232596981,999,999,999,999,999,999,999,999,999,999,999,999,999,23.8126626051955,999,999,22.4913074816078,34.3628355282574,999,999,13.7985446140127,13.9446057088921,13.7677353803382,999,18.8481658518261,19.9099247904398,20.3650715978671,20.3743847740144,21.3466419592128,20.8334547069782,21.2269412769554,999,999,23.6068855198849,32.410863811051,21.5726746800601,999,22.5866068575012,999,20.6067253797215,999,999,999,999,999,20.0465770665949,29.4943036898747,999,19.5944638052509,999,19.0203891551427,999,19.7860290591346,999,999,22.2661609890199,23.0800273692206,23.9734678339445,19.5901822928792,19.4641454784738,19.1378699701149,999,17.0494336002147,17.9807292107995,17.794023515939,21.9142763920892,20.1037687796013,999,999,999,999,999,999,,
07,Katrine Poolmix 2018 10-3,16.9629640735355,17.4961009981247,17.7979189959215,17.7560350168419,17.9253620365086,17.6588880327605,18.6935041025183,18.4393881898813,18.9481855959166,16.9975538105459,17.2202196147345,17.7842433785652,18.6338722995407,18.7776178979001,20.7189131016538,18.9171015844098,18.3142435976172,999,17.4591801888544,24.2917336834789,17.478971246168,17.4822904379447,17.3436528317663,19.0418520469396,17.0360101628644,17.469142969847,17.2079972169592,19.7124260165611,17.8246074743894,18.9406844215246,16.8624089484204,19.0207668919062,16.7717242014755,17.2396081180495,19.9474847601267,19.5130310920956,19.5181047324828,17.5008386756906,19.9670685392223,17.2635719988106,20.0125636594507,18.3275750100434,19.407330953743,17.1253108068307,16.9833928494183,17.0403445973119,18.3834745146634,18.8469186438656,17.5661852886597,17.8276116040548,17.6010947711458,18.1626572044253,18.3667826986738,17.1440233283905,17.9187052616307,999,16.8935485223415,17.3734535503258,999,23.3446953873885,17.5270449022684,20.0765481501164,19.7351383362993,17.8752207985561,16.9030057032473,17.1539322177983,18.5270559202603,17.6352853391736,18.7846128669145,18.0580770311736,999,21.3019751525692,29.2084713628292,20.9253514829093,17.4566325470868,22.0817748195406,23.9035006597694,22.8031995010268,24.7667063725568,23.7513825150103,999,18.5173440032573,999,18.8728573979509,22.6544866685269,18.842962529952,21.0515916517725,18.581638852236,16.8917634621005,17.666957146279,17.5218549221506,16.9481596828558,999,999,17.1816930918332,999,,
08,Katrine Poolmix 2018 10-1,9.8951315920149,10.4268816215499,10.8678992199944,10.6372262574124,11.0051185665989,10.6650458347661,11.911063393879,11.6170903690329,11.8899414735641,9.99085132978179,10.1654004114185,10.9204472279532,11.4171982311952,11.7464919519147,13.0595862982878,11.6006015533342,11.2703649875399,20.2613299595193,10.2428325091226,15.4895784600857,10.0958320097619,10.1226962873369,10.0097807884628,11.5752890197811,10.0762403380637,10.3359818156352,10.1978135379458,12.3389973624556,10.6679212681427,11.9180136347917,10.0722326047467,11.8076973938823,9.70792131710366,10.5029482139787,12.682846381586,12.1764294620791,12.2632117300627,10.613958976348,12.6636197869204,10.3968589401583,12.8895661427552,11.3487250535115,11.493089923404,9.64017769048598,9.65467709721044,9.65525509417273,11.2788607672617,11.8446364933017,9.85792799384334,9.85660350656631,9.789980394554,10.4861818156542,10.5670585346426,10.5808867957175,11.16754113314,999,9.63304783299145,10.3035110683976,19.228045720565,15.653324132717,10.6308341065549,12.9041571946947,13.1739226603352,10.478468365153,9.97894220050297,9.81989366787561,11.731883931016,10.5965603596976,11.8887240792026,11.2202904174776,18.229595095729,14.0715569304677,19.0125424409017,13.7016951186226,10.608129183489,15.7323646304535,15.5384090421078,16.0803892162786,15.5241197389348,16.2824133220939,20.8406440478983,11.4980860849113,999,12.1375565440475,14.6119526669721,11.7103673801158,14.041544367045,11.1150173032647,9.98065549184053,10.5517127173116,10.4933109891211,9.94480772979259,999,999,10.2333188389019,999,,
09,110_25-08-2020_nul,999,999,999,999,999,999,999,999,24.2469287786571,999,999,999,999,999,999,999,999,19.2092455671349,999,999,25.2411591143085,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26.0487369102213,999,999,20.2935501922837,27.5482716314347,999,999,13.4329423163229,13.4563880912311,13.57738346501,999,23.5696940098568,18.7195319186437,19.6828027161006,19.1723631809584,20.4300467944048,19.5245625460455,19.5701430669724,24.0637518008894,999,20.548490911505,31.726970819143,24.5479940314598,24.0797929270109,24.262083229857,999,22.1729862092796,999,999,999,999,999,19.6640473541909,999,999,999,999,23.8804040121143,999,999,999,999,999,999,999,23.3331558813704,19.931511142453,18.6257371253265,999,15.9658785005078,16.6359772126856,19.0079157671935,20.5843428370691,20.7924850884489,999,23.9509103728108,999,22.6876789445257,999,999,,
