Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Fourth_run\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,08-12-2021 12:31:13,01:28:17,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,291_26-08-2020_nul,999,999,999,999,999,999,22.4990516270893,999,999,24.6996169663695,999,23.7433641313099,999,999,999,999,999,999,999,999,23.1845340217765,22.1886493253649,23.9743482421149,999,999,999,999,999,999,999,999,999,999,999,999,999,31.0746463494524,999,999,999,999,999,999,16.4519828367422,16.4969577070759,16.2401302576145,999,22.4743780546816,20.9787577001691,21.0369214131259,21.6235107966215,999,21.7969275862974,24.0703599133573,999,999,999,999,20.7391678495821,999,24.1168522680074,999,24.2835427210252,999,999,999,999,999,25.3710628964461,999,999,22.941979093768,32.0725800720973,23.3830438074959,999,23.0973492514168,999,999,999,999,999,999,22.0890708010299,22.8993085549067,999,999,19.3879380532226,22.7737551499302,999,23.8476738956338,999,999,999,999,999,999,,
02,325_26-08-2020_nul,999,999,999,999,999,999,999,999,20.08917650207,20.3937686456527,999,999,999,999,999,999,999,18.0888844714007,999,999,21.0073100396254,19.7542731376134,19.8188402971057,999,999,999,999,999,999,999,999,999,999,999,999,999,26.0220310929967,999,999,19.3590989995828,25.8976273576892,999,999,11.8004571996153,11.8870084226288,11.8159602474095,999,19.3836531926752,18.9573167797593,19.308495842165,19.0671461941325,19.813309006217,19.9648343960593,19.6847298640589,999,25.7618350919068,999,27.4837997967823,999,999,19.4837364613694,999,17.4297272836774,999,24.1693010653888,999,999,999,19.3267817014731,999,999,21.6097869048439,30.4776161051148,24.1282828123211,999,21.4942377980567,20.4115781338114,21.4065683795198,21.0577407608762,22.3314361915771,999,23.3370357663451,18.4699366807629,18.3680954711603,999,14.9517228695195,18.2943686440932,16.3767721614087,21.5059860166183,999,999,999,999,24.3211134720332,30.5437292820881,999,,
03,26_16-09-2020_C1,999,999,999,999,999,999,999,999,24.3222695528192,999,999,999,999,999,999,999,999,21.17466728549,999,999,24.3600154317062,23.3555349333902,24.4207231183462,999,999,999,999,999,999,999,999,33.4938947141811,999,999,999,999,31.993293222964,999,999,999,29.7248633699962,999,999,14.3822405276722,14.3913150249361,14.3171067799091,999,20.5279561617689,20.3581992397286,20.4746917104913,20.8909658206999,22.398538438652,21.9707932193184,21.9045378338544,999,999,24.1402726038542,31.9736673365707,999,999,999,999,19.1434722844704,999,999,999,999,999,22.1661779856348,999,999,999,999,999,999,21.4974550122598,999,999,999,999,999,999,18.4383278973999,18.6585016467475,999,17.9839239901103,19.8758852489012,18.6565212384628,20.9910206417665,21.3682074529126,999,999,999,999,999,999,,
04,56_16-09-2020_C1,999,999,999,999,999,999,999,999,23.30992308192,23.6377542683931,999,999,999,999,999,999,999,22.250993276999,999,999,21.9581936403997,22.2658764690856,22.9177743366876,999,999,999,999,999,999,999,999,999,999,999,999,33.8781038181041,28.7096518450898,24.9817785107479,999,20.9069175862213,26.7247569023727,999,999,13.7371173198028,13.8169615120252,13.873385715055,999,18.9827808370704,21.9741996123517,21.7440604939929,20.9368071485089,23.0353414224981,22.4274372358388,22.2579153644192,23.2396099653271,999,24.0850036945376,29.1774549660931,999,999,23.3412555782002,999,19.0483587892275,999,999,999,999,999,22.0650489035798,999,999,22.8968324088084,999,23.0351295507285,999,25.7909043143429,999,999,999,999,999,999,18.8347410978567,18.1767440727219,24.2926786631041,17.2284522267801,21.548036270832,18.2855338041099,19.6363075978981,21.6006641201299,999,23.3734377642697,999,999,24.4955308774991,999,,
05,87_16-09-2020_C1,999,999,32.427118096582,999,999,999,999,999,20.6511582976633,21.6363856733294,999,999,999,999,999,999,999,20.0723993946036,999,999,999,24.3292200634916,999,999,999,999,999,999,999,999,999,999,999,28.9717400845036,999,999,999,999,999,20.3390059027941,30.1490894477701,999,999,11.5778444005814,11.5616629999776,11.5544100807409,999,34.7491723881728,20.6308363769739,19.7837303806362,20.6651281014685,19.7651192941669,20.2327434513914,20.7676297436033,24.584023546361,999,21.2449387170209,29.8223057324235,999,999,21.3513083550671,999,18.3830287728676,999,999,999,999,999,19.5536209422348,999,24.3413748269469,999,999,999,999,24.4061366725446,999,999,999,999,999,999,16.2983107364433,16.2301661700604,999,14.766461403165,21.8825041105122,16.4858922596201,17.8446040886872,17.6956365829094,999,999,999,22.2129131271639,23.2241908186254,999,,
06,158_16-09-2020_B1,999,999,999,999,999,999,999,999,20.3076756582179,20.9355629817451,999,999,999,999,999,999,999,17.5294014320131,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,29.9849168269259,999,999,20.4761992446329,32.3595519193995,999,999,12.514743369512,12.4302399817438,12.3641984113278,999,20.1771445030876,19.5772215872451,19.9343493848143,19.1963822935027,21.2165236474185,21.524700221058,20.7049857089648,24.4918008317623,999,24.4371473659352,31.8485907498809,24.6318363318861,999,21.85047458618,999,18.6155928375703,999,999,999,999,999,19.3708336372609,999,999,999,999,999,999,999,999,999,999,999,999,999,16.6405689878514,16.4841129707302,999,15.1662473680738,18.5977150668802,16.770646174101,18.2469143599292,20.2082495030222,999,999,999,999,999,999,,
07,Katrine Poolmix 2018 10-3,16.9300442064792,17.5501204825549,17.9010996922176,17.71678632453,17.965865138279,17.5929107359767,19.2649027960576,19.0027811337468,18.9324052078516,17.0121673506364,17.5739830793369,18.1074424973082,18.5932462196096,18.9402051858474,21.2373306091123,18.72158346455,18.3657284632706,25.8323197090289,17.6055833065502,24.3182948352729,17.6443575738136,17.4702229375583,17.3804852427785,18.9365332390267,17.1213492360592,17.5100786215443,17.4753846640999,19.6913739285993,17.9566645590588,19.502446286155,17.0609387692105,19.1252152077467,16.8192124292975,17.3067383613522,20.0328322079286,19.3149837955492,19.5157792058124,17.722787492551,20.2922126614747,17.6996422567471,20.1884099087531,18.8628160160604,19.7158108294771,17.060611035536,17.0797847397821,16.8894343335721,18.7376145749564,18.7299234538952,17.8934322728542,17.8363002195622,17.8058312392626,18.5494349052509,18.1823058342466,17.9644702241576,18.2833804080642,999,17.0949778229889,17.6566069974512,999,22.0467668357958,17.7202029304954,20.1199462052895,20.2087019502364,17.7461197650919,17.3495544968515,17.3029895385119,19.1878760091612,17.7001295360488,19.2061601927726,18.4951415324194,999,21.5132541399916,29.7542237295928,21.7547221760662,17.7600472618007,23.4788440714824,22.3416017758938,23.6097753413842,22.184014032961,23.3889988470352,999,18.7253083301528,999,19.3366759220943,21.5007732608226,19.0225991084963,21.5287304222478,17.6663102313483,17.1260779627695,18.0885622308223,17.9959558682631,17.5387398197825,999,999,17.7315438021659,999,,
08,Katrine Poolmix 2018 10-1,10.0081366332843,10.4730270765232,10.9193840517043,10.6823593503614,11.0488719637415,10.5831365866802,11.8471944580165,11.5324970479638,11.8533995137934,9.80564863383642,10.3990662138015,10.8890107030577,11.2636229173576,11.8455257559978,13.1473414185084,11.5180577128672,11.2032861392873,20.2799281007042,10.2672314165481,15.504229410062,9.96799847263101,10.1679784101852,10.0827306824507,11.72525715762,10.2181262057903,10.3772186554234,10.2495190720852,12.4104682717399,10.8426849381734,11.8826754416471,10.1472862827153,11.7810829563212,9.71746461012188,10.3039635190703,12.7073149626285,12.1149022058282,12.048882522839,10.4266348112389,12.5852756151398,10.2804076811997,12.8284223024545,11.28220944438,11.3847292689053,9.68509080174228,9.66438688623862,9.64775163630802,11.1947295279539,11.6579928382072,9.96114024885361,9.93451247236558,9.96833910399643,10.6853507280403,10.6070135479533,10.6576354221398,11.10047051387,999,9.74382196789716,10.2455553889282,19.2285690929231,15.6357810853269,10.5883935886136,13.0333875738406,13.0662161818658,10.3692126473755,9.92831285720547,9.80674368140151,11.7943257292123,10.631200067265,11.9231228632583,11.203048409783,18.4092268703074,14.0303238306175,19.5497470232207,13.7786239794454,10.6172518471421,15.6333108247755,15.5541909612997,16.0616832001334,15.8060117523312,16.3688008320921,20.7008197498782,11.4886095432075,999,12.0629847146162,14.6189904949893,11.7459861372058,14.0227622969516,11.1115983916692,9.99860373862531,10.4924782824813,10.5897802044003,10.1000397779482,999,999,10.2754910608927,999,,
09,191_16-09-2020_A1,999,999,999,999,999,999,999,999,18.8553886338818,19.1417946641985,999,999,999,999,999,999,999,18.8048017004499,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,32.4019827458974,31.4691759559621,999,999,17.7780034111617,29.2178601053194,999,999,12.0264997987047,12.0493215238193,11.9552140584681,999,15.3257562576097,19.660358481702,19.5222849618738,19.4837646385334,20.7167693374917,20.2949123170645,20.0790118569292,20.6252467022744,999,21.1054301748809,29.3223237706339,999,999,999,999,17.1492647409684,999,999,999,999,999,18.6784560671982,999,999,24.9709208934771,30.5992009285898,999,27.6310268676165,15.3374492391156,999,999,999,999,999,23.3839468332175,15.8479912106121,15.5960653925054,23.4805422929977,14.4004400779434,17.5628365181583,14.8564941979013,17.6308363265635,19.7956929507323,999,22.7356471678817,999,23.7238953220221,24.6170118945871,999,,
