Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Fifth_run\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,11-01-2022 14:41:53,01:29:06,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,16_24-09-2020_B1,999,999,999,999,999,999,999,999,21.6922763199817,21.5877869284607,999,999,999,999,999,999,999,19.8574029332241,999,999,22.0958454754584,23.3253100301737,22.4061505931825,999,999,999,999,999,999,999,999,999,999,33.0839152396381,999,999,20.0556222136053,20.6872888315343,999,21.3690323939074,999,999,999,13.1113335657033,13.181918634992,13.3794166048541,999,20.929829407064,20.4382711215527,20.4182066746515,21.0051158423927,20.5922487768441,22.2139119046192,20.7039028408992,22.5822871660395,999,999,999,999,999,22.1273006847297,999,18.8929266397891,999,999,999,999,999,21.3761607689451,999,23.3410843129287,21.6134432027122,27.9935753692348,21.6065541510014,999,21.9941132973579,23.2027789838772,23.0828940285917,22.7209799237,24.7807204696343,23.9451984047894,999,17.0078150499438,16.8025829827722,21.3903541193724,15.5825009811864,20.2722844807501,16.4149560302466,18.3609918341375,19.6582573480609,999,21.8629262260106,999,999,32.3164981212663,999,,
02,50_24-09-2020_C1,999,999,999,999,999,999,999,999,21.4920475647373,23.0932598677203,999,999,999,999,999,999,999,999,999,999,22.6513680287286,22.7979810686687,23.6701748230321,999,999,999,999,999,999,999,999,999,999,999,999,999,33.308865186489,999,999,21.6375849529884,33.2963587620997,999,999,15.1349587584826,15.1351463521558,15.2211355591957,999,21.117381120062,23.7492631334783,20.9089701825382,21.9020780331098,23.8762836152045,24.0968708731018,23.9011021925596,999,999,24.1164295576009,30.8824017146062,999,999,22.8950735432379,999,19.562464612627,999,999,999,999,999,23.0974820657833,999,999,999,999,999,999,999,999,999,999,999,999,999,19.448870784384,19.4979771619513,999,19.1206767661553,21.8837548194058,19.3028748251428,21.5336930401207,21.6944611784791,999,999,999,999,999,999,,
03,80_24-09-2020_B1,999,999,999,999,999,999,999,999,19.5285058505668,20.0781271455991,999,999,999,999,999,999,999,20.9548731793627,999,999,18.234550493019,18.3484492887227,18.2621545187095,999,999,999,999,999,999,999,999,999,999,999,999,999,21.9469706058259,23.1621025806394,999,19.8198694370509,999,999,999,14.1277196411893,14.1903464184707,14.212934725336,999,16.3014709449533,21.233518737372,21.5834204674499,21.8939308085585,21.5881182873429,21.8777055190845,23.1175068110082,999,999,22.2507692639141,32.3805726577017,999,999,24.030507937584,999,19.9153577657886,999,999,999,999,999,21.2968373337607,999,999,18.4760472218442,24.9706827630388,18.5406789777901,999,20.0903067425816,18.1593348635448,18.8192842203457,18.3389633590862,18.9366464015212,999,999,19.4825338577158,19.3730109619049,18.1566072855594,16.851275563087,20.0014398419657,18.0816786802601,21.5698576753672,22.5354658648219,999,999,999,23.1689053392079,999,999,,
04,149_24-09-2020_B1,999,999,999,999,999,999,999,999,22.8192111124559,22.6483861681576,999,999,999,999,999,999,999,22.6954355656002,999,999,999,24.4105926153778,999,999,999,999,999,999,999,999,999,999,999,999,999,999,21.4237515856341,999,999,22.141050391247,999,999,999,13.7956276465975,13.8142567119332,13.7434647648913,999,22.9925543868041,22.1428983666307,21.3815556136076,30.5577166249467,22.7408560547924,22.7846391910919,21.681104268723,23.340265075761,999,23.6334578975014,999,999,999,22.2457284490816,999,19.7348649259733,999,999,999,999,999,22.4972835340372,999,999,999,31.0506474031628,999,999,23.2263329194671,999,999,999,999,999,999,18.5767328099728,18.3487113041724,999,16.5235027312573,17.5231438856744,17.7057537289833,19.8150930474234,23.4982679627904,999,25.7779575094216,999,24.1841561706348,999,999,,
05,191_24-09-2020_A1,999,999,999,999,999,999,999,999,21.0661895545117,22.3163741020066,999,999,999,999,999,999,999,21.8281499513277,999,999,999,24.3476649370075,999,999,999,999,999,999,999,999,999,32.9024172521985,999,999,999,999,20.5032123588046,22.7611415523114,999,19.5597387471155,30.831932963051,999,999,13.4148366715869,13.4875030353148,13.4994232626209,999,23.036893808145,21.777659781152,21.1970334054737,20.1423292270592,21.5568588151252,21.4967424727424,22.4117777129779,24.4432727720513,999,22.4352193017353,32.9552948954901,999,999,21.0035319954869,999,17.9917186044959,999,999,999,999,999,21.3190238057997,999,999,24.2972565915095,30.3268600287417,999,999,22.7058375025673,21.1609975297967,21.178172614414,20.7132065730322,22.5777085039368,999,999,16.6637361474289,16.2221196699382,999,16.2722096327717,22.7783114714983,15.7848323722314,18.4796043128503,22.1945341198253,999,999,999,999,999,999,,
06,248_24-09-2020_B1,999,999,999,999,999,999,999,999,21.8861078473461,21.7550414415371,999,999,999,999,999,999,999,19.2355149587378,999,999,22.6428725856136,22.516468731679,22.5371387058327,999,999,999,999,999,999,999,999,999,999,29.2725857012536,999,999,22.318722663528,22.3073374783925,999,19.0713724184209,30.0342053736385,999,999,12.7573972600234,12.829468957209,12.7699476466064,999,14.0430143455945,19.4668332776205,19.7261504646619,19.6338433678751,20.3792328687483,21.1544400334056,19.8828815021179,23.1793634089014,999,20.955823635726,29.8019477569033,22.7503356931499,27.8203084316459,20.2113277445392,999,17.9713831185976,999,999,999,999,999,19.8849255830189,999,999,21.8895348011574,27.7032664411446,22.5747725538827,999,18.3915827037751,999,24.3963396908231,24.8269576361869,24.4753427800144,999,23.662590820499,16.6445148109944,16.380785324525,19.2417171738329,15.1971146889798,20.1491480531234,15.6275221127842,18.2797015042752,20.0587866853235,999,21.9388692495894,999,999,999,999,,
07,Katrine Poolmix 2018 10-3,17.270996408643,17.7831263198844,18.4650277504254,17.7564112590994,18.4884980372542,17.6940052868641,19.2614484610285,19.7303962013061,19.4958771465111,17.0996829820156,17.3076155479044,18.2608948757424,18.6029531045296,19.0646971989389,20.9902582918799,18.9788409043895,18.7266816151245,25.8098938682959,17.6896763634388,21.6651144683446,17.6305363365413,17.8510196310105,17.8210304519197,19.0225952969539,17.2791756770101,17.5240063851474,17.5295250753273,20.3119824502043,18.0581228441121,19.4057995286554,17.213749804201,18.9700507153428,16.8977746691636,17.547798851407,20.118357748859,19.2468756174226,19.0569765199307,17.9233610768384,20.4026441564754,17.9434079765088,20.5023839598912,18.9499851921201,20.131070430827,17.2243109980309,17.2929303527295,17.2967431291387,18.9456123715171,19.4546980611325,18.4696475182882,17.9928663632591,17.8053319435815,18.5558819505275,18.3147216786512,19.3789272700162,18.4599682112158,999,17.2660192522975,17.6976604162917,999,21.8010345868205,17.769782857192,21.8143857339267,20.3012270877148,18.0997534213238,17.2327131170279,17.3625407090005,19.0070606720944,18.0075691626957,19.4098872378222,18.5505667802365,25.4813669013165,21.1656778159213,27.081377557198,20.7432232041469,17.6495070608941,22.97295829321,23.8320027144564,24.3345140020436,24.7325188652906,999,999,19.3931639367019,999,19.3684888847872,999,19.3132726813496,21.1069021018985,19.088295649718,17.0569261804384,18.1937788990738,18.0013095642827,17.5185347184485,999,999,17.4931068561365,999,,
08,Katrine Poolmix 2018 10-1,10.2354829944358,10.7325175704978,11.0798601601158,10.8115861167625,11.1892274847488,10.8375404881859,12.1019150218275,11.8326476488181,11.9896809154776,10.0321843556096,10.3959537401317,11.1413567703089,11.5789700190794,12.0614841585117,13.4285274373682,11.7804699536528,11.404700080065,19.9752022850375,10.428164225677,15.6704616577409,10.3321745285449,10.3142091021618,10.2083178158239,11.8150320594886,10.3070963540538,10.4396724915036,10.2898763984933,12.5599699333277,10.9754863433032,12.0928640447297,10.2916457742757,11.8852262550727,9.88236966838315,10.5778580388169,12.7253347735338,12.3401545903868,12.1872862726447,10.510974683669,12.6385927227539,10.4889379891994,12.8704714244624,11.5522245687824,11.5636714137221,9.80474073333764,9.83013703614775,9.84342681219642,11.3193910726419,11.8698995653885,10.0296873795568,9.94859285655055,10.0780235314866,10.6193985876976,10.7424981924398,10.6985384434863,11.2359586597084,999,9.8253065894147,10.3885846228,19.491136715236,15.8292220427558,10.7551927367096,12.8644214299517,13.1541819979359,10.6641710870239,10.0984406005899,9.92681624868198,11.8591404962775,10.7303473393125,11.9958202296892,11.292049824866,18.6283223367474,14.1393853873016,19.1262779291168,13.7497583376745,10.7093292690456,15.9428326479335,15.776845552399,16.3455280177776,15.9873100110324,16.4932449608792,21.1733031917223,11.6067047263238,999,12.1029897761471,14.7714049937157,11.8636078086949,14.1714173219721,11.2373654854821,10.031185582177,10.7328156139107,10.5571387087814,10.1439879829875,999,999,10.2842109815199,999,,
09,278_24-09-2020_B1,999,999,999,999,999,999,999,999,23.9109985269125,999,999,999,999,999,999,999,999,999,999,999,21.5582377702357,22.2970905763999,22.3514164038854,999,999,999,999,999,999,999,999,999,999,999,999,999,29.2380121448222,999,23.0284428840331,17.1524449973257,999,999,999,13.495389058375,13.4962503450201,13.5184114572535,999,15.7116976425122,22.3564871586499,999,999,24.0187964366848,23.8262238568362,22.7858078978315,999,999,999,999,24.234592795323,23.5347911933587,999,999,21.3801421438734,999,999,999,999,999,22.850622730816,999,999,21.5342573682307,30.7623488557097,21.3555652024394,999,16.1555487918213,21.9550677323374,21.5481436052594,21.5043493749436,22.397848953688,999,20.1470328918975,18.1891694749903,17.9921100444598,999,18.258132273532,16.8480468588712,16.1779212456432,23.1497080033294,999,999,999,999,999,999,999,,
