Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Sixth_run(missing vatE)\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,07-02-2022 13:46:22,01:28:02,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,73_03-11-2020_A1,999,999,999,999,999,999,999,999,19.8447191159004,20.3475314739014,999,999,999,999,999,999,999,21.861129962875,999,999,25.4362973386056,24.3998856907094,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,21.8085160785903,999,999,999,12.9987338272033,12.9975973789188,12.8910181216293,999,21.5160664606245,17.7350427855344,18.3659042535724,18.4314945746482,18.5592909729524,18.3691108990565,18.7301512777831,999,999,22.328395413825,32.9510416195935,19.1236855835203,999,24.2609287813519,999,20.5277744388504,999,999,999,999,999,21.6086366333658,23.3959313044876,999,20.7869676684709,28.6474062565066,20.5922001288827,999,999,999,999,999,999,23.8211699660426,18.7499560113308,18.5911763150436,18.5011782566,999,16.0948064944666,23.3328457325241,17.8675739324076,20.111425484223,21.1863720156242,999,21.8078259305546,999,999,999,999,,
02,149_03-11-2020_B1-1,999,999,999,999,999,999,999,999,21.9041430898133,21.4601174492838,999,999,999,999,999,999,999,19.9584657856531,999,999,999,999,999,999,999,30.4540915847161,999,999,999,999,999,27.3902524713548,999,30.8862451539582,999,999,999,999,999,17.3806890919532,28.7369153193021,999,999,11.4564429145747,11.4782170179741,11.4230261069698,999,999,18.4561265138711,17.9937524365413,18.1184528913721,18.8548666627348,19.062096733837,19.1970899043616,20.9503176293397,999,999,28.0593534648649,24.1574699853143,999,19.6504750788226,999,16.8809968414047,999,999,999,999,999,20.2342903189024,999,999,999,999,999,999,31.5145204893443,999,999,999,999,999,22.2666927204631,16.2056864339057,15.6927981074242,999,14.1508018450115,21.364959385174,14.6760496177598,17.5673675599656,19.2499007827009,999,21.0941267621004,999,22.6306197805165,999,999,,
03,191_03-11-2020_A1,999,999,999,999,999,999,999,999,21.8107769942492,21.8142861062405,999,999,999,999,999,999,999,23.7159515905427,999,999,999,999,999,999,999,999,999,999,999,999,999,31.2022766816496,999,31.5750406027916,999,999,999,999,999,19.9956229921337,999,999,999,12.5837051057561,12.6083394542664,12.5263973190395,999,22.1533357391468,18.8221276499874,18.9014625420758,18.6465415792036,20.7189015645141,20.6328774489247,21.2253225943437,22.1668516898987,999,22.1508629661815,30.7182505891353,22.7142103880572,25.2954589454714,21.5665750773923,999,18.0463474051947,999,999,999,999,999,20.9674086837001,999,999,999,29.1757373833838,23.8754846438988,999,999,999,999,999,999,999,999,17.7936836081948,17.4973374706412,999,14.8716884359,24.2560102066363,14.9701567544989,18.2643478114953,20.6147711959509,999,999,999,24.7635669931808,999,999,,
04,259_03-11-2020_B1-2,999,999,999,999,999,999,999,999,26.5671080679149,24.3021097758637,999,999,999,999,999,999,999,22.9234114006008,999,999,999,999,999,999,999,999,999,999,999,999,999,32.2428921569928,999,999,999,999,999,999,999,19.4551558166676,999,999,999,13.1743485332693,13.0427625866915,13.2773633042542,999,999,20.4040524102255,19.8566767110354,20.1453228802753,22.3123840567526,21.3652077822353,21.6898609498413,24.8245018111929,999,999,31.6962016203503,21.9220306619617,999,20.2993492719264,999,18.2447455585454,999,999,999,999,999,22.6877942293689,999,999,999,999,999,999,31.8758404748487,999,999,999,999,999,22.2049595786668,17.4573292980887,17.3672836944623,999,15.729712736495,999,16.0591017124601,19.1549754916451,21.2031409345073,999,999,999,999,999,999,,
05,291_03-11-2020_A1,999,999,999,999,999,999,999,999,24.5753750962643,999,999,999,999,999,999,999,999,999,999,999,30.7319921767681,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24.4473527658518,999,999,999,18.0805219007243,17.4912523207892,17.5898333016465,999,999,999,23.2121606603284,999,999,999,24.5622903984166,999,999,999,999,24.3754569568555,999,999,999,999,999,999,999,999,999,24.3976345759994,999,999,22.9816395594732,999,24.0712328272071,999,999,999,999,999,999,999,999,22.7436472368983,21.3687522502333,999,19.499966720893,999,20.1036330252173,21.7450043409092,23.4905553334864,999,999,999,999,999,999,,
06,326_03-11-2020_A1,999,999,999,999,999,999,999,999,21.1469506203088,23.1620497929988,999,999,999,999,999,999,999,21.1871033570704,999,999,22.7585521007958,22.1463275383331,22.1672925582248,999,999,999,999,999,999,999,999,32.9717216862093,999,999,999,999,999,999,999,19.6857725623574,999,999,999,12.800879040229,12.7914137405349,12.788335813494,999,999,18.2519305482918,18.2405391450918,18.2853772337185,19.3618964593245,19.4592784558877,19.2415124198818,23.5988729110534,999,23.1734339786146,30.0112247959477,20.7230585715208,999,21.572905786726,999,18.5608839440041,999,999,999,999,999,20.6863753713399,24.2808790271815,999,999,999,24.8120860931439,999,32.1050263635749,999,999,999,999,999,22.2581438660661,17.8537440202385,17.1809190210332,999,16.0567782602314,23.2573426032369,15.6163401115356,19.351355757138,20.3715317820692,999,999,999,999,999,999,,
07,Katrine Poolmix 2018 10-3,17.3838435393483,17.7625121984841,18.1465064036908,17.870319353992,18.3252856500365,18.0057140640715,19.8063994514374,19.1330365464818,19.415225525055,17.0697318047449,17.4873811040785,18.4343520168177,19.1918110003101,19.2505585310963,21.113013695511,18.9582919559845,18.6469240501045,999,17.7795087019301,23.6233221623744,17.9519882995114,17.8978874769958,17.9502554161692,19.3279015374062,999,17.7307812035707,17.5327583163145,20.4068404325717,18.2340467525158,19.5809881604307,17.3367518630953,19.4615785911135,17.0197408448812,17.6719689672587,20.7231276023563,19.7811997557033,19.8694956833099,17.7356596784049,20.1146070123673,17.8398020672678,20.4754543002357,18.8513053182531,19.3473698485261,17.3710715730577,17.4669970080253,17.1384733023664,18.9890218926887,19.6939330174262,18.1405218884611,18.1471049251584,18.4807392495058,18.8665890608226,18.8485368127995,18.3601540255189,18.6411707082763,999,17.3287271934778,18.0228008498885,999,25.0045194669377,17.8565094049665,20.9233013924249,20.6364321956576,18.2676177773767,17.6461794642252,17.323628954976,19.5393382334923,18.0755430135108,19.4077419067235,18.7319778603818,999,21.5045875905711,32.8575376882482,22.1344095525922,17.9183013516119,23.9682425111815,23.1872903549028,24.4335680219654,24.7703435704892,24.6829217950003,999,18.866489307539,999,20.0341850202256,22.0899484094074,19.1264665674822,21.2272886072436,19.8911687185756,17.2568717624497,18.6791560695716,17.9975340109057,17.5846594138195,999,999,999,999,,
08,Katrine Poolmix 2018 10-1,10.0922983912521,10.5417080534479,11.0598236128007,10.8201583578174,11.1066616087929,10.8214080062326,12.1065704501545,11.7149369793301,11.9827198318482,10.0651085612951,10.4012793123323,11.1835632742012,11.7287625845286,11.9488985865812,13.318360994909,11.7939582638922,11.3028438882576,20.3816950884711,10.4507221999726,16.0394625783832,10.3935969678566,10.2784297706003,10.346333471553,11.8667450452847,999,10.4685246048389,10.2970078446397,12.6636949247564,10.934298204325,12.125127941802,10.2458246805821,11.9891219642722,9.99021676993547,10.5292158917728,12.8849505050679,12.4005563316637,12.3353182611228,10.5632973223545,12.6579028861176,10.3905754391519,13.1255604478571,11.4672605648764,11.4952912024377,9.79573322484978,9.79460106535662,9.74068142178124,11.437525966761,12.004751642972,10.0950553416026,9.96120797417856,9.95546296005934,10.6404468402188,10.6486473630612,10.6551045758637,11.2891442187797,999,9.82634472134137,10.5758613619843,19.0383130648273,15.7570688836074,10.7312987693882,12.7740908007641,13.4011252181539,10.5060874609597,10.1473541800771,10.0164381368464,11.8190156564948,10.7770537635567,11.9206903798101,11.3557672252115,18.474712004749,14.3017435012111,18.8015168507312,13.8492362898907,10.6496078473884,15.7696972252218,15.6248801511637,16.1516932241808,15.6962599141589,16.5780116899742,21.8013527733887,11.5485691920084,999,12.2284519566737,14.9467366067422,11.8352120220552,14.1658258766942,11.3119026349045,10.0213017347333,10.8018850764536,10.6740027939033,10.1389686037165,999,999,999,999,,
09,156_24-11-2020_A1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18.7883763691539,19.9072415255069,19.560081023875,999,999,999,999,24.7470856395395,31.6199888352077,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23.2073854484829,999,26.6197300532908,999,23.7330059203702,999,999,999,999,999,999,999,999,,
