Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Sixth_run(expired_chip_with_vatE)\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,14-02-2022 13:48:12,01:27:48,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,VatE,VatE,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,73_03-11-2020_A1,999,21.4817974374149,23.0198930169379,999,25.9409525920162,999,999,999,20.2214292767238,21.0021617320334,999,999,999,999,999,999,999,22.9562569942264,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,22.2070359061329,999,999,999,13.4780278481648,13.2577996136364,13.3565706424467,999,22.9055444174699,18.4278167215491,18.7354654269584,19.2460425967772,18.9904030435933,18.9593418427136,19.3080201059051,999,999,23.758920805501,34.385889461056,19.5671437388003,999,22.25359845385,999,21.2804696611064,999,999,999,999,999,21.1814979836464,999,999,21.3100850023912,999,21.2443386844411,999,999,999,999,999,999,24.3051775075127,19.9418578301601,19.1042290854325,19.0964074288654,999,16.525782980557,23.3002329948039,18.7650929724903,20.924038855031,21.6322713611036,999,21.681465262623,999,999,22.0597098752323,999,,
02,149_03-11-2020_B1-1,999,21.4229244455418,21.6964682956116,999,999,999,999,999,21.9656997975975,22.2945512277038,999,32.0683853662736,999,999,999,999,999,20.7762180594774,999,999,999,999,999,999,999,999,999,999,999,999,999,33.3387078392059,999,999,999,999,27.4222492461947,999,999,17.6025366186353,28.3683797939969,999,999,11.834634379592,11.9235003905568,11.8517957941901,999,999,18.6251951519215,19.0332977041878,19.0806261662621,19.5448995506639,19.7698587576498,19.8344215555858,21.833299382589,999,22.2242673074563,31.0112814895912,24.9455414639738,999,20.0212639641341,999,17.1112537977962,999,999,999,999,999,19.8351847694415,999,999,999,999,999,999,31.7174874934156,999,999,999,999,999,24.4399791704177,16.5949389931907,16.2855574164177,999,14.7603983135355,23.4157650974339,15.2024431795056,18.2333259985978,20.1548974160861,999,21.9041344662512,999,999,20.9464687151313,999,,
03,191_03-11-2020_A1,999,21.4512713596123,20.5280437921663,999,999,999,999,999,22.3652851871845,22.0962131352813,999,999,999,999,999,999,999,26.2454577344397,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,20.4082963625369,999,999,999,13.0178553426832,13.0319835669341,13.1586077506465,999,22.4181403989166,19.1738350214199,19.9301439492126,18.9129383329073,20.8371536037644,22.5801560272057,21.0026801611761,999,999,23.0554114097463,30.5463516120977,22.2423587322594,999,21.6621339894178,999,18.6154720487774,999,999,999,999,999,22.7448722322981,999,999,999,999,999,999,999,999,999,999,999,24.1694628971618,999,18.485152593864,17.7626939593172,999,15.974599039021,24.5450888900269,15.821261021022,19.672972342489,21.6099032821412,999,23.4837685191676,999,999,20.1112624837276,999,,
04,259_03-11-2020_B1-2,999,25.1280560974686,23.6986772857541,999,999,999,999,999,33.6560617751242,23.2687987098633,999,999,999,999,999,999,999,22.2368317782502,999,999,999,999,999,999,999,999,999,999,999,999,999,31.0887773631917,999,999,999,999,999,999,999,19.2387511706083,999,999,999,13.1340198907536,13.0351572213782,13.0014661970365,999,999,19.9222236825677,20.0956929756767,20.3016534088938,22.6111865353031,23.5452768516888,22.2616612203927,999,999,33.0197595312482,29.9844795390829,22.1682736696476,999,20.8150608428366,999,18.0116364299381,999,999,999,999,999,22.0222967634141,23.7766815422553,999,25.1514148875812,999,24.9341975226492,999,999,999,999,999,999,999,23.4376366224534,18.0965119954585,17.2574478090031,999,15.6468622758761,999,15.7438427999098,18.9473467323504,21.195323625058,999,999,999,999,999,999,,
05,291_03-11-2020_A1,999,999,999,999,999,999,999,999,24.6850684076881,999,999,999,999,999,999,999,999,999,999,999,999,24.8113369059842,999,999,999,999,999,999,999,999,999,999,999,999,999,29.3505397751893,999,999,999,999,999,999,999,18.5414470701109,18.3457578665292,17.5647876012416,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24.6643714773088,999,23.9973024471951,999,999,999,999,999,999,999,999,24.10424588066,23.9629181278106,999,20.3762674718315,999,21.40621054738,23.7177431574471,24.2721217238744,999,999,999,999,999,999,,
06,326_03-11-2020_A1,999,20.7842898834342,20.4673490073654,999,999,999,999,999,22.2840984260603,22.7920239216785,999,999,999,999,999,999,999,21.1065705468753,999,999,23.0923343275532,22.7275374935552,22.8350276795217,999,999,999,999,999,999,999,999,999,999,999,999,33.9211552167607,999,999,999,19.6906827732947,33.7052173949088,999,999,12.6853617894999,12.742214083028,12.6883105061201,999,999,18.6702796362858,18.1347037902776,18.7830159577599,19.9561632004014,18.9717643075473,19.5798252922239,999,999,22.4724071477997,31.2505494459933,22.5043188914829,999,21.0705165813138,999,18.3592512854587,999,999,999,999,999,20.8448533310394,999,999,999,999,999,999,999,999,999,999,999,999,24.3117348711729,18.0350182446343,17.2430961799378,999,15.8535936907431,22.4076682421509,15.3108185072579,18.7892017592501,20.727482768794,999,25.0879665097252,999,999,19.9666804940901,999,,
07,Katrine Poolmix 2018 10-3,17.4191324268081,17.9712218088687,18.3834832062288,18.4163020641499,18.6943773554601,18.3388291853864,20.1949586517322,19.8731022153523,19.6781977203869,17.7213813732115,17.9376514954365,19.4275409651922,18.9830154022125,19.7767849124816,21.8834239378971,18.9929427592267,19.2648743703135,999,18.2441235678986,24.4355362299017,18.1308593216554,18.2798834621086,18.3713671108351,20.1009394510381,17.7745756872246,18.1872846813439,17.9902450018239,20.2963163402104,18.5796676706378,20.1788867014833,17.5267998907868,19.8428310618608,17.4413925840342,17.9761055236755,21.2404822492279,20.6136608869318,20.157438687358,18.0737398267684,20.637152397848,17.948863557954,21.031548945851,18.9730808260475,19.795594971907,17.6526977887664,17.7492057133461,17.6622113294709,19.6037180527913,19.216336890993,18.7068239066057,18.904710984616,18.5169623119876,18.8253869106102,18.9242395167655,18.7085116441925,18.8954624968143,999,17.4268148727343,18.5163808133787,999,23.1017413352259,18.3756460720182,21.4325263767636,20.7834821544302,19.0609061856313,17.6176868321328,17.6269276996871,20.0580015153567,18.4459890986882,19.6511992973614,19.3776205525777,999,23.2848063027271,27.9425174757306,21.1377298414464,18.2685970088671,23.1755269755726,25.2412938500555,24.359333392683,23.777359521947,24.1654107143769,999,19.1678937984456,999,20.36052344456,24.2433472617208,19.475497080832,22.4975643236055,19.1721201072187,17.727988929237,18.8123648771702,18.0979290115567,18.03769953903,999,999,18.0170805881865,999,,
08,Katrine Poolmix 2018 10-1,10.2628550120355,10.520149648636,10.5874332536087,10.9487670391952,11.4111017180359,10.9777045228488,12.2123927769871,11.952607126526,12.0943280832836,10.0749984524948,10.4315474666675,11.4311635544678,11.8620500140839,12.1602007873773,13.4594022067098,11.8451252178703,11.499003541247,20.3052363913276,10.6512094480097,16.6870390703017,10.5389810455656,10.3547719632648,10.3791735455095,12.1238872217467,10.2198852671122,10.5028038292168,10.3635993438739,12.6703054069216,10.94924703043,12.1795103575187,10.3471318007934,12.0093108211559,9.89923203105861,10.4483905649629,13.0837534020736,12.612453989634,12.4079288695995,10.4937238759381,12.9929668553546,10.385317238364,13.392568735511,11.5156939897765,11.5450789259295,9.78373446336319,9.71593626509358,9.78016924246194,11.381814393126,11.8970350218797,9.98497246848055,10.0002940119487,10.165065560179,10.5502054857596,10.5615195108298,10.5428676873793,11.3921192839932,999,9.9097353958447,10.6144137327238,19.3810628494899,15.8671459951262,10.8357373844578,12.9668883443913,13.5352357320231,10.6398335893963,10.2756187228675,10.0163013088672,12.1386412041579,10.8149258003319,12.0911345414041,11.3929338901003,18.825272416066,14.3812003784501,18.4597090785507,13.8858666702282,10.9149828496927,15.8714226860228,15.9036997113164,16.2107372025309,15.8511276591355,16.6847660724126,22.218445344445,11.39979320122,999,12.3417595598823,14.891351484988,12.0073215488904,14.1974774393574,11.3060836322658,10.1094480556465,10.9565723150774,10.690930165124,10.093455731057,999,999,10.3744465833747,999,,
09,156_24-11-2020_A1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26.8708980237856,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,25.1957536785746,999,999,999,19.6681088601571,20.1694548598247,19.9472876918769,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,29.9727665222643,999,999,999,999,999,999,999,25.0054501760075,28.0584280986773,999,23.6621422446025,999,26.7657758350728,999,999,999,999,999,999,999,999,,
