Chip Run Info,M:\GUDP\Opddelings forsøg\Fluidigm data\fluidigm_runs\Seventh_run\ChipRun.bml,1362288457,96.96 (136x),96x96_qPCR (10min Hot Start : 35cyc) + MCA ,ROX,EvaGreen,09-02-2022 14:25:30,01:28:09,BIOMARKHD439,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


EvaGreen Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
01,214_24-11-2020_B1-2,999,999,999,999,999,999,999,999,24.2320958981433,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24.388263300074,32.5123210699394,999,999,15.9489251466655,15.9313907978481,15.9371982666751,999,999,22.2689521710789,22.9844245598567,24.3578018462278,24.1957318904422,22.8449329705058,22.4590441802806,999,999,999,34.5241724722,22.8154398203869,999,24.2182746659225,999,21.229160982222,999,999,999,999,999,999,999,999,999,999,999,999,24.8151608097597,999,999,999,999,30.9447615342801,999,20.7836373781836,19.9290871263506,999,19.4497854094497,24.4793273482757,19.8527880850513,21.8623758910391,26.0800636659468,999,999,999,999,22.6258597669657,999,,
02,318_24-11-2020_B1-2,999,999,999,999,999,999,999,999,21.6597390655462,24.6554346820906,999,999,999,999,999,999,999,999,999,999,23.6979363374845,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23.9124092661884,999,999,999,16.6300050040761,16.137757226137,15.4380852159009,999,22.8058681003606,23.3835441933305,24.5322693284453,999,29.9656982817644,999,23.0393501462173,999,999,999,34.1987632847365,21.8322922086445,999,999,999,22.240559243811,999,999,999,999,999,999,999,999,999,999,999,999,22.228146098157,999,999,999,999,999,999,21.0107844733858,20.0651635923957,999,18.8410424382857,21.882026904702,20.7791007291128,21.557886458056,24.8167651606935,999,23.9374223243227,999,999,23.2399877580247,999,,
03,33_24-11-2020_C2,999,999,999,999,999,999,999,999,26.040720667996,23.6349333184344,999,999,999,999,999,999,999,22.1380213160225,999,999,999,999,999,999,999,999,999,999,999,999,999,26.9107183580664,999,30.8405023934013,999,999,999,999,999,19.6474507513421,999,999,999,12.547235321305,12.5573562110702,12.523860705648,999,999,18.9858697138799,18.9214166691055,19.0802169732158,19.5721527488487,19.6469083188641,19.5285873304755,999,999,999,31.0914732328239,18.8637977799982,999,21.9542807648315,999,18.9370792944237,999,999,999,999,999,21.6302292160768,24.2721767800617,999,22.9491617847228,999,23.5088627873213,999,999,999,999,999,999,999,22.5644100750855,18.6632639462027,18.3106211167148,999,15.7411135676233,24.1923662755024,17.4307116985326,19.9390466248283,20.7333684661105,999,21.9566452147636,999,24.0481305695369,19.8939496354432,999,,
04,143_16-12-2020_A1,999,999,999,999,999,999,999,999,22.8894948369671,23.0001986120735,999,999,999,999,999,999,24.0601598634567,20.0670147627754,999,999,999,26.6137438983909,999,999,999,999,999,999,999,999,33.2839748762827,28.9179085126823,999,999,999,999,32.5777460926416,999,999,18.3692002889772,26.535140214898,999,999,11.577066190308,11.4955312562548,11.5070396115744,999,21.4118039003754,19.1668838068105,19.0946820307736,19.6175513417568,20.7655980561102,20.5976746122537,20.1192295304073,21.9635783093402,999,21.4374316684294,29.8572297237376,19.1362175688841,999,19.9926513494328,999,17.4714747049206,999,999,999,999,999,19.7976963590497,999,999,999,999,999,999,999,999,999,999,999,999,23.3699437678113,16.5770291720416,16.2521307830977,999,15.1672867415482,19.1691542119163,15.2705589866992,18.3252106282949,19.0132881997456,999,24.2781641364995,999,24.0329393681931,22.609132434857,999,,
05,290_16-12-2020_A1,999,999,999,999,999,999,999,999,23.7483059119091,25.4782338567343,999,999,999,999,999,999,999,23.2513181472166,999,999,999,999,999,999,999,999,999,999,999,999,999,29.814298405768,999,999,999,999,999,999,999,19.8257039674544,30.2129419522988,999,999,13.5396040008224,13.4223110026108,13.291270092243,999,999,22.1801222635541,20.7625329081827,20.7623120735981,22.1906028762382,24.1907876631934,23.3671454007281,999,999,999,29.6347735003525,999,999,20.8299519057439,999,17.6889439533975,999,999,999,999,999,21.3241531418935,999,999,999,999,999,999,999,999,999,999,999,999,999,18.3205862064117,18.0903183169867,999,15.7948178121457,24.4267102562998,15.8089277357082,19.6137739997758,21.7108825140991,999,23.3979776853165,999,23.2018459088539,23.0045092966431,999,,
06,65_16-12-2020_B1-1,999,999,999,999,999,999,999,999,24.4220468700902,24.6573290343285,24.5744314612415,24.6698129366986,999,999,999,999,999,21.0259704234186,999,999,24.2986532913402,999,999,999,999,999,999,999,999,999,999,29.4523790930615,999,999,999,999,999,999,999,20.0144696926843,33.3277976424857,999,999,12.6146831229811,12.4783908683436,12.420920715965,999,25.9154309028919,19.1034981571712,18.7407120327265,18.6855191297855,19.6167547404269,19.7762658417474,19.5310183344628,999,999,21.456121300499,29.1063612985426,20.8672123023065,999,21.592275319281,999,17.9364726225814,999,999,999,999,999,22.7739138952448,30.4489119450533,999,23.6488406177,999,999,999,999,999,999,999,999,999,21.3001725567522,18.0599570116113,18.2400018963847,999,16.2635563599144,999,16.4811053563958,19.8291135506209,21.8605052629925,999,24.1825611677903,999,999,19.1788524635446,999,,
07,Katrine Poolmix 2018 10-3,17.2255131827346,17.6988137253473,18.1288935439099,18.092152378988,18.5091254297147,17.7322076575782,19.3954895318522,18.9622840383525,19.4366887945796,17.2503615698761,17.5175879089525,18.5221739648319,18.9236842053583,19.2486920525353,21.247421872564,18.9926105307385,19.1498017902979,999,17.7210289183767,22.7993211784102,17.7301194685548,17.8983541004948,17.7874594620779,18.9393766428773,17.4251996314588,17.7884167521345,17.5741750948302,19.7705309941591,18.0336441242654,19.051610975166,17.1981487254731,19.770900182268,17.0539622739793,17.7075054352131,20.2878594009191,20.3613814554353,19.4143960138209,17.8716042498474,20.1814305509851,17.7736584788693,20.3606658352256,18.9955542017719,18.5834322483944,17.2823460565273,17.2304257300532,17.3443938131443,18.6323545825567,19.471974497487,17.6846349167459,18.6771849640608,18.7311595130572,18.5887048481462,18.593910264012,18.7759356004036,18.5422987453188,999,17.2499696214053,17.5155663148272,999,22.543291874897,17.7021688656237,20.5769518230693,20.6666402482212,18.5770635046024,17.2637821107228,17.555529276695,19.296848130388,17.8585604899262,19.6424642657096,18.8407966678846,999,22.3377999747917,29.0482095239275,21.6525252871705,17.9196847731546,21.8779800597871,24.54264407383,24.393040449387,23.2758797679681,24.6706790096793,999,19.2178965747521,999,19.9928109423342,22.6687414110369,19.2078343698095,21.9763206545715,19.0766354786637,17.1518692452022,18.5428612095507,17.861417397973,17.650979767791,999,999,17.4979319280284,999,,
08,Katrine Poolmix 2018 10-1,10.1618740180849,10.6290257777986,11.189995205485,10.8812835759795,11.2897760859237,10.9477291949823,12.2159935960529,11.9002074107058,12.0329826730244,10.0596631690723,10.5882868252322,11.2442142364364,11.6363384416677,11.8996235281237,13.4016486279513,11.7955663371952,11.2911668061865,20.1695432148655,10.4097068446727,16.0506293261855,10.3779355161502,10.2253396037845,10.3358779811072,11.7951580241095,10.2111109091038,10.5209257728474,10.3307540835203,12.5732353974788,10.9139165032017,12.0747223109482,10.3221303945213,12.0920576763266,10.0198019671487,10.5505670326655,12.8206907918418,12.6027682208594,12.343339741714,10.4750513280195,12.7225045983135,10.5055602989891,13.1324026298903,11.5899827056699,11.5183403165647,9.7495249054941,9.77161083918193,9.70913312307096,11.4345204000133,11.8398828898887,9.8747307866815,9.94149308305067,9.97443546715253,10.6943052330976,10.6314022333599,10.5777899978737,11.3141497943681,999,9.77603209773499,10.4183665279538,19.4212893563166,15.7921990462105,10.7269580109522,12.8291766349931,13.3537848852459,10.3940371027645,10.1430470865818,9.9388366908014,11.9095988233855,10.7157553118334,11.9956151688534,11.3726732326664,18.7406633446486,14.1598179937948,19.8729710347057,13.9328309032085,10.6919086132762,15.6865779379646,15.6771980822095,16.5927227535458,15.7158400996832,16.5617176675991,21.3632069618542,11.5607998495199,999,12.1933093909291,14.8754407439096,12.1045658716352,14.0581301149832,11.3564487047474,10.056981424675,10.8860731598697,10.6505920054558,10.1961377668709,999,999,10.2602149737021,999,,
09,279_16-12-2020_B1-1,999,999,999,999,999,999,999,999,999,23.7306795545461,999,27.8908888821674,999,999,999,999,999,20.1259222036889,999,999,999,24.1854924434997,999,999,999,999,999,999,999,999,999,28.4324651758097,999,999,999,999,999,999,999,17.9451345179885,31.2952247088954,999,999,11.5094745953613,11.4104466468769,11.4315893932567,999,999,18.9216164813065,18.9769761355849,18.9094723097022,20.226288981007,19.3811919309373,20.0205525618169,22.5527524023686,999,20.73089729583,29.4802813207246,20.8814080990686,999,20.2557797145084,999,16.9584373451166,999,999,999,999,999,20.3004966196472,999,999,999,999,999,999,999,23.8589684103255,999,999,999,999,999,17.4258572972823,16.6737535528989,999,15.0184779349714,999,15.4981850618545,18.5226148948953,18.6533112164368,999,22.4647435601035,999,999,21.9708385350507,999,,
