PIG	DATE	GROUP	FULL	OUA	Stald	Antibiotic	Behandlingsdato	Week	GROUP_B	DATE_dif_nul	So	Note	Behandlings_tidpunkt
73	25-08-2020	nul	X73_25.08.2020_nul_V3v4_S50	1	Farrestald	0	0	Week 00	A	25-08-2020	1000	PlusSo	Early
114	25-08-2020	nul	X114_25.08.2020_nul_V3v4_S27	1	Farrestald	0	0	Week 00	A	25-08-2020	3402	PlusSo	Batch
123	25-08-2020	nul	X123_25.08.2020_nul_V3v4_S39	1	Farrestald	0	0	Week 00	A	25-08-2020	3416	PlusSo	Batch
143	25-08-2020	nul	X143_25.08.2020_nul_V3v4_S51	1	Farrestald	0	0	Week 00	A	25-08-2020	4340	PlusSo	Late
156	25-08-2020	nul	X156_25.08.2020_nul_V3v4_S87	1	Farrestald	0	0	Week 00	A	25-08-2020	400	PlusSo	Batch
177	25-08-2020	nul	X177_25.08.2020_nul_V3v4_S52	1	Farrestald	0	0	Week 00	A	25-08-2020	4468	PlusSo	Batch
191	25-08-2020	nul	X191_25.08.2020_nul_V3v4_S64	1	Farrestald	0	0	Week 00	A	25-08-2020	4390	PlusSo	Batch
235	25-08-2020	nul	X235_26.08.2020_nul_V3v4_S17	1	Farrestald	0	0	Week 00	A	26-08-2020	3593	PlusSo	Batch
260	25-08-2020	nul	X260_26.08.2020_nul_V3v4_S77	1	Farrestald	0	0	Week 00	A	26-08-2020	3939	PlusSo	Batch
264	25-08-2020	nul	X264_26.08.2020_nul_V3v4_S89	1	Farrestald	0	0	Week 00	A	26-08-2020	3939	PlusSo	Early
277	25-08-2020	nul	X277_26.08.2020_nul_V3v4_S42	1	Farrestald	0	0	Week 00	A	26-08-2020	4157	PlusSo	Batch
280	25-08-2020	nul	X280_26.08.2020_nul_V3v4_S78	1	Farrestald	0	0	Week 00	A	26-08-2020	3000	PlusSo	Late
290	25-08-2020	nul	X290_26.08.2020_nul_V3v4_S90	1	Farrestald	0	0	Week 00	A	26-08-2020	3000	PlusSo	Early
291	25-08-2020	nul	X291_26.08.2020_nul_V3v4_S7	1	Farrestald	0	0	Week 00	A	26-08-2020	3000	PlusSo	Batch
314	25-08-2020	nul	X314_26.08.2020_nul_V3v4_S43	1	Farrestald	0	0	Week 00	A	26-08-2020	4103	PlusSo	Batch
319	25-08-2020	nul	X319_26.08.2020_nul_V3v4_S67	1	Farrestald	0	0	Week 00	A	26-08-2020	5000	PlusSo	Early
320	25-08-2020	nul	X320_26.08.2020_nul_V3v4_S79	1	Farrestald	0	0	Week 00	A	26-08-2020	5000	PlusSo	Batch
325	25-08-2020	nul	X325_26.08.2020_nul_V3v4_S8	1	Farrestald	0	0	Week 00	A	26-08-2020	5000	PlusSo	Early
326	25-08-2020	nul	X326_26.08.2020_nul_V3v4_S20	1	Farrestald	0	0	Week 00	A	26-08-2020	5000	PlusSo	Batch
65	25-08-2020	nul	X65_25.08.2020_nul_V3v4_S26	1	Farrestald	0	0	Week 00	B_T	25-08-2020	4461	PlusSo	Batch
68	25-08-2020	nul	X68_25.08.2020_nul_V3v4_S38	1	Farrestald	0	0	Week 00	B_T	25-08-2020	1000	PlusSo	Batch
110	25-08-2020	nul	X110_25.08.2020_nul_V3v4_S3	1	Farrestald	0	0	Week 00	B_T	25-08-2020	3402	PlusSo	Batch
192	25-08-2020	nul	X192_25.08.2020_nul_V3v4_S76	1	Farrestald	0	0	Week 00	B_T	25-08-2020	4390	PlusSo	Batch
214	25-08-2020	nul	X214_26.08.2020_nul_V3v4_S88	1	Farrestald	0	0	Week 00	B_T	26-08-2020	3871	PlusSo	Batch
236	25-08-2020	nul	X236_26.08.2020_nul_V3v4_S29	1	Farrestald	0	0	Week 00	B_T	26-08-2020	3593	PlusSo	Batch
247	25-08-2020	nul	X247_26.08.2020_nul_V3v4_S41	1	Farrestald	0	0	Week 00	B_T	26-08-2020	2000	PlusSo	Batch
248	25-08-2020	nul	X248_26.08.2020_nul_V3v4_S53	1	Farrestald	0	0	Week 00	B_T	26-08-2020	2000	PlusSo	Batch
259	25-08-2020	nul	X259_26.08.2020_nul_V3v4_S65	1	Farrestald	0	0	Week 00	B_T	26-08-2020	3939	PlusSo	Batch
269	25-08-2020	nul	X269_26.08.2020_nul_V3v4_S6	1	Farrestald	0	0	Week 00	B_T	26-08-2020	3939	PlusSo	Batch
