"sample_name"	"sample_title"	"bioproject_accession"	"organism"	"collection_date"	"env_broad_scale"	"env_local_scale"	"env_medium"	"geo_loc_name"	"host"	"lat_lon"	"OUA"	"SOW"	"group"	"time"	"dummy"
"110_2020-10-07"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-10-07"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"0"	"3402"	"B_T"	"Week 06"	0.196687543299049
"110_2020-10-15"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-10-15"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"0"	"3402"	"B_T"	"Week 07"	0.0135356362443417
"110_2020-09-16"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-09-16"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"0"	"3402"	"B_T"	"Week 03"	0.922308696433902
"110_2020-09-24"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-09-24"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"0"	"3402"	"B_T"	"Week 04"	0.0511447030585259
"110_2020-08-25"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-08-25"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"1"	"3402"	"B_T"	"Week 00"	0.256992627866566
"110_2020-09-30"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-09-30"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"0"	"3402"	"B_T"	"Week 05"	0.187807891517878
"112_2020-10-07"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-10-07"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"1"	"3402"	"B_U"	"Week 06"	0.880426889285445
"112_2020-10-15"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-10-15"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"1"	"3402"	"B_U"	"Week 07"	0.821776011027396
"112_2020-09-16"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-09-16"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"1"	"3402"	"B_U"	"Week 03"	0.931000129785389
"112_2020-09-24"	""	""	"unclassified sequences; metagenomes; organismal metagenomes; pig gut metagenome"	"2020-09-24"	"ENVO:01000998"	"ENVO:01001029"	"UBERON:0001988"	"Denmark"	"Sus scrofa domesticus"	"not applicable"	"1"	"3402"	"B_U"	"Week 04"	0.66849527717568
