"ID";"filename";"filename2"
"110_2020-10-07";"110_07-10-2020_B1_V3v4_S263_R1_001.fastq.gz";"110_07-10-2020_B1_V3v4_S263_R2_001.fastq.gz"
"110_2020-10-15";"110_15-10-2020_B1_V3v4_S367_R1_001.fastq.gz";"110_15-10-2020_B1_V3v4_S367_R2_001.fastq.gz"
"110_2020-09-16";"110_16-09-2020_B1_V3v4_S23_R1_001.fastq.gz";"110_16-09-2020_B1_V3v4_S23_R2_001.fastq.gz"
"110_2020-09-24";"110_24-09-2020_B1_S139_R1_001.fastq.gz";"110_24-09-2020_B1_S139_R2_001.fastq.gz"
"110_2020-08-25";"110_25-08-2020_nul_V3v4_S3_R1_001.fastq.gz";"110_25-08-2020_nul_V3v4_S3_R2_001.fastq.gz"
"110_2020-09-30";"110_30-09-2020_B1_V3v4_S267_R1_001.fastq.gz";"110_30-09-2020_B1_V3v4_S267_R2_001.fastq.gz"
"112_2020-10-07";"112_07-10-2020_B1_V3v4_S275_R1_001.fastq.gz";"112_07-10-2020_B1_V3v4_S275_R2_001.fastq.gz"
"112_2020-10-15";"112_15-10-2020_B1_V3v4_S379_R1_001.fastq.gz";"112_15-10-2020_B1_V3v4_S379_R2_001.fastq.gz"
"112_2020-09-16";"112_16-09-2020_B1_V3v4_S35_R1_001.fastq.gz";"112_16-09-2020_B1_V3v4_S35_R2_001.fastq.gz"
"112_2020-09-24";"112_24-09-2020_B1_S151_R1_001.fastq.gz";"112_24-09-2020_B1_S151_R2_001.fastq.gz"
"112_2020-08-25";"112_25-08-2020_nul_V3v4_S15_R1_001.fastq.gz";"112_25-08-2020_nul_V3v4_S15_R2_001.fastq.gz"
"112_2020-09-30";"112_30-09-2020_B1_V3v4_S279_R1_001.fastq.gz";"112_30-09-2020_B1_V3v4_S279_R2_001.fastq.gz"
"114_2020-10-07";"114_07-10-2020_A1_V3v4_S287_R1_001.fastq.gz";"114_07-10-2020_A1_V3v4_S287_R2_001.fastq.gz"
"114_2020-10-15";"114_15-10-2020_A1_V3v4_S296_R1_001.fastq.gz";"114_15-10-2020_A1_V3v4_S296_R2_001.fastq.gz"
"114_2020-09-16";"114_16-09-2020_A1_V3v4_S47_R1_001.fastq.gz";"114_16-09-2020_A1_V3v4_S47_R2_001.fastq.gz"
"114_2020-09-24";"114_24-09-2020_A1_S163_R1_001.fastq.gz";"114_24-09-2020_A1_S163_R2_001.fastq.gz"
"114_2020-08-25";"114_25-08-2020_nul_V3v4_S27_R1_001.fastq.gz";"114_25-08-2020_nul_V3v4_S27_R2_001.fastq.gz"
"114_2020-09-30";"114_30-09-2020_A1_V3v4_S196_R1_001.fastq.gz";"114_30-09-2020_A1_V3v4_S196_R2_001.fastq.gz"
"123_2020-10-07";"123_07-10-2020_A1_V3v4_S204_R1_001.fastq.gz";"123_07-10-2020_A1_V3v4_S204_R2_001.fastq.gz"
"123_2020-10-15";"123_15-10-2020_A1_V3v4_S308_R1_001.fastq.gz";"123_15-10-2020_A1_V3v4_S308_R2_001.fastq.gz"
"123_2020-09-16";"123_16-09-2020_A1_V3v4_S59_R1_001.fastq.gz";"123_16-09-2020_A1_V3v4_S59_R2_001.fastq.gz"
"123_2020-09-24";"123_24-09-2020_A1_S175_R1_001.fastq.gz";"123_24-09-2020_A1_S175_R2_001.fastq.gz"
"123_2020-08-25";"123_25-08-2020_nul_V3v4_S39_R1_001.fastq.gz";"123_25-08-2020_nul_V3v4_S39_R2_001.fastq.gz"
"123_2020-09-30";"123_30-09-2020_A1_V3v4_S208_R1_001.fastq.gz";"123_30-09-2020_A1_V3v4_S208_R2_001.fastq.gz"
"13_2020-10-07";"13_07-10-2020_C1_V3v4_S225_R1_001.fastq.gz";"13_07-10-2020_C1_V3v4_S225_R2_001.fastq.gz"
"13_2020-10-15";"13_15-10-2020_C1_V3v4_S329_R1_001.fastq.gz";"13_15-10-2020_C1_V3v4_S329_R2_001.fastq.gz"
"13_2020-09-16";"13_16-09-2020_C1_V3v4_S68_R1_001.fastq.gz";"13_16-09-2020_C1_V3v4_S68_R2_001.fastq.gz"
"13_2020-09-24";"13_24-09-2020_C1_S184_R1_001.fastq.gz";"13_24-09-2020_C1_S184_R2_001.fastq.gz"
"13_2020-08-25";"";""
"13_2020-09-30";"13_30-09-2020_C1_V3v4_S229_R1_001.fastq.gz";"13_30-09-2020_C1_V3v4_S229_R2_001.fastq.gz"
"143_2020-10-07";"143_07-10-2020_A1_V3v4_S216_R1_001.fastq.gz";"143_07-10-2020_A1_V3v4_S216_R2_001.fastq.gz"
"143_2020-10-15";"143_15-10-2020_A1_V3v4_S320_R1_001.fastq.gz";"143_15-10-2020_A1_V3v4_S320_R2_001.fastq.gz"
"143_2020-09-24";"143_24-09-2020_A1_S187_R1_001.fastq.gz";"143_24-09-2020_A1_S187_R2_001.fastq.gz"
"143_2020-08-25";"143_25-08-2020_nul_V3v4_S51_R1_001.fastq.gz";"143_25-08-2020_nul_V3v4_S51_R2_001.fastq.gz"
"143_2020-09-30";"143_30-09-2020_A1_V3v4_S220_R1_001.fastq.gz";"143_30-09-2020_A1_V3v4_S220_R2_001.fastq.gz"
"149_2020-10-07";"149_07-10-2020_B1_V3v4_S228_R1_001.fastq.gz";"149_07-10-2020_B1_V3v4_S228_R2_001.fastq.gz"
"149_2020-10-15";"149_15-10-2020_B1_V3v4_S332_R1_001.fastq.gz";"149_15-10-2020_B1_V3v4_S332_R2_001.fastq.gz"
